  
 ------------------------------------------------------------
         COND_ID           P_ID        E_RATIO        S_RATIO
        4.000000       4.000000       0.017108       0.013783
        4.000000       4.000000       0.026129       0.026993
        4.000000       4.000000       0.018974       0.026724
        4.000000       4.000000       0.018268       0.026993
        4.000000       4.000000       0.015856       0.026933
        4.000000       4.000000       0.023034       0.014235
        4.000000       4.000000       0.020509       0.026545
        4.000000       4.000000       0.011182       0.013452
        4.000000       4.000000       0.007952       0.013990
        4.000000       4.000000       0.020473       0.013429
        4.000000       4.000000       0.023658       0.015284
        4.000000       4.000000       0.020866       0.026873
        4.000000       4.000000       0.024457       0.013340
        4.000000       4.000000       0.023283       0.026574
        4.000000       4.000000       0.025575       0.026934
        4.000000       4.000000       0.020231       0.015768
        4.000000       4.000000       0.023411       0.026903
        4.000000       4.000000       0.014975       0.026783
        4.000000       4.000000       0.022733       0.013429
        4.000000       4.000000       0.020092       0.025363
        4.000000       4.000000       0.019497       0.013074
        4.000000       4.000000       0.025404       0.026993
        4.000000       4.000000       0.019197       0.026903
