conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
2234,sincere,Modifiers,.7880435,.46652174,-.12413044,.8770389,.69827586,-.29773459,3.22,2.6500001,-.70999998
695,sing_to,Behaviors,.5196023,.33607954,.37585226,.64115435,.43678162,.46925569,2.28,1.74,1.66
2235,single,Modifiers,.049242422,.030555556,-.03232323,.14429112,.19252872,-.11974107,.30000001,.88999999,-.16
1548,single_parent,Identities,.21785714,.12780613,.41658163,.33751571,.27011493,.11650488,1.0700001,1.16,.56999999
1549,sinner,Identities,-.45637754,-.1385204,.16581632,-.36260974,-.27873564,.18122979,-1.72,-.75,.76999998
1550,sissy,Identities,-.35171568,-.59926468,-.33333334,-.26223335,-.59770113,-.26213589,-1.3200001,-1.86,-.60000002
1551,sister,Identities,.45272276,.16485149,.16732673,.54830617,.29022989,.27508092,1.91,1.23,1.0599999
1552,sister_in_law,Identities,.14489795,.064540818,.10535714,.32245922,-.045977019,.038834982,1.01,.059999999,.33000001
696,sit_next_to,Behaviors,.22083333,.041111112,-.19805555,.34002513,.1091954,-.19417472,1.08,.60000002,-.38999999
1553,skeptic,Identities,.13717617,.067098446,.029792747,.056461755,.017241372,-.090614863,-.050000001,.28,-.07
2236,skeptical,Modifiers,.25022322,.12566964,-.093303569,.23212047,.14655171,-.13268606,.64999998,.73000002,-.2
1554,skilled_worker,Identities,.70217389,.46565217,.31513157,.66624844,.53160918,.10032365,2.3800001,2.0699999,.51999998
2237,slack,Modifiers,-.39755434,-.42500001,-.54333335,-.35759094,-.5258621,-.62459546,-1.7,-1.61,-1.72
697,slander,Behaviors,-.75384617,-.033413462,.296875,-.72898364,.13505746,.38511327,-3.1800001,.69,1.4
698,slap,Behaviors,-.63465345,.19455445,.62945545,-.55834377,.20114942,.71844661,-2.5,.92000002,2.4300001
1555,slave,Identities,-.46806931,-.78638613,.024257425,-.3977415,-.88218391,-.48220059,-1.86,-2.8499999,-1.28
1556,slave_driver,Identities,-.85051548,.46726805,.55128866,-.75407773,.39655173,.46925569,-3.28,1.6,1.66
699,slay,Behaviors,-.78265303,.46275511,.60994899,-.7490589,.47413793,.34627834,-3.26,1.87,1.28
700,sleep_with,Behaviors,.41249999,.32499999,.28039771,.35759097,.57183909,.33656961,1.15,2.21,1.25
