Month,Day,Year,Temp
4,17,1997,38.4
4,18,1997,38.2
4,19,1997,48.7
4,20,1997,47.6
4,21,1997,51.5
4,22,1997,50.9
4,23,1997,46.4
4,24,1997,47.3
4,25,1997,49.5
4,26,1997,50.6
4,27,1997,52.8
4,28,1997,49.5
4,29,1997,52.3
4,30,1997,61.4
5,1,1997,52.6
5,2,1997,50.3
5,3,1997,52
5,4,1997,50.2
5,5,1997,53.9
5,6,1997,53.5
5,7,1997,54.9
5,8,1997,56.3
5,9,1997,51.6
5,10,1997,47.5
5,11,1997,53.6
5,12,1997,57.4
5,13,1997,52.2
5,14,1997,54.1
5,15,1997,51.3
5,16,1997,46.3
5,17,1997,61.4
5,18,1997,70.3
5,19,1997,72.9
5,20,1997,54.4
5,21,1997,52.1
5,22,1997,53.5
5,23,1997,56.6
5,24,1997,64.9
5,25,1997,68
5,26,1997,54.6
5,27,1997,56.3
5,28,1997,58.4
5,29,1997,56.8
5,30,1997,60.4
5,31,1997,59.5
6,1,1997,59.3
6,2,1997,61.5
6,3,1997,60.4
6,4,1997,58.2
6,5,1997,62.5
6,6,1997,63.7
6,7,1997,59.7
6,8,1997,58.2
6,9,1997,62.7
6,10,1997,67.5
6,11,1997,70.2
6,12,1997,67.8
6,13,1997,69.4
6,14,1997,68.6
6,15,1997,64.5
6,16,1997,70.1
6,17,1997,67.6
6,18,1997,68
6,19,1997,72.1
6,20,1997,77.3
6,21,1997,78.7
6,22,1997,74.5
6,23,1997,78
6,24,1997,80.5
6,25,1997,81.6
6,26,1997,74
6,27,1997,71.7
6,28,1997,74.6
6,29,1997,74.6
6,30,1997,74.2
7,1,1997,74.2
7,2,1997,77.3
7,3,1997,72.6
7,4,1997,67.3
7,5,1997,62.8
7,6,1997,66.4
7,7,1997,71.6
7,8,1997,75.9
7,9,1997,69.3
7,10,1997,63.3
7,11,1997,68.2
7,12,1997,72.4
7,13,1997,75.5
7,14,1997,77.9
7,15,1997,75.7
7,16,1997,76.8
7,17,1997,79.4
7,18,1997,80.4
7,19,1997,74.8
7,20,1997,70
7,21,1997,75.9
7,22,1997,73.3
7,23,1997,73.1
7,24,1997,74.4
7,25,1997,73.9
7,26,1997,79.8
7,27,1997,83
7,28,1997,77.9
7,29,1997,72.7
7,30,1997,66.5
7,31,1997,67.9
8,1,1997,72.4
8,2,1997,72.1
8,3,1997,76.2
8,4,1997,76.3
8,5,1997,67.6
8,6,1997,62.6
8,7,1997,66.8
8,8,1997,69.3
8,9,1997,72.9
8,10,1997,70.6
8,11,1997,73.3
8,12,1997,72.2
8,13,1997,73.8
8,14,1997,67.9
8,15,1997,74.1
8,16,1997,82.2
8,17,1997,74.6
8,18,1997,69.8
8,19,1997,66
8,20,1997,65.5
8,21,1997,65.6
8,22,1997,62.8
8,23,1997,62
8,24,1997,63.9
8,25,1997,67.4
8,26,1997,68.3
8,27,1997,73.2
8,28,1997,73.1
8,29,1997,65
8,30,1997,64.3
8,31,1997,70.1
9,1,1997,73.4
9,2,1997,76
9,3,1997,65.1
9,4,1997,55.6
9,5,1997,59.6
9,6,1997,66.8
9,7,1997,71.2
9,8,1997,70
9,9,1997,67.6
9,10,1997,64.6
9,11,1997,62.1
9,12,1997,61.7
9,13,1997,62.6
9,14,1997,66.2
9,15,1997,70
